site,thedate,type,taskcode,Aluminum,Antimony,Arsenic,Barium,Beryllium,Cadmium,Chromium,Cobalt,Copper,Iron,Lead,Manganese,Mercury,Nickel,Selenium,Silver,Thallium,Vanadium,Zinc
S01,2012-03-22T09:20:00Z,N,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,0.0016,NA,3e-4,NA,NA,0.0016,NA,NA,NA,NA,0.035
S01,2019-03-24T16:43:00Z,N,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2019-03-24T16:45:00Z,N,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2013-03-28T12:06:00Z,N,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,0.00155,NA,3.7e-4,NA,NA,0.00143,NA,NA,NA,NA,0.02648
S01,2013-03-28T12:09:00Z,FD,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2013-03-28T12:09:00Z,N,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,0.00178,NA,3.7e-4,NA,NA,0.00154,NA,NA,NA,NA,0.02906
S01,2014-03-28T12:43:00Z,FD,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,0.0016,NA,2.5e-4,NA,NA,0.00364,NA,NA,NA,NA,0.025
S01,2014-03-28T12:43:00Z,N,Spring Melt,NA,NA,NA,NA,NA,1.6e-4,NA,NA,0.0017,NA,3.1e-4,NA,NA,0.00378,NA,NA,NA,NA,0.027
S01,2018-03-28T16:51:00Z,N,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2018-03-28T16:54:00Z,N,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2018-03-28T16:57:00Z,N,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2018-03-28T16:58:00Z,N,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2019-03-29T08:07:00Z,N,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2019-03-29T08:09:00Z,N,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2013-03-06T12:10:00Z,N,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,0.00156,NA,4.2e-4,NA,NA,0.0018600000000000001,NA,NA,NA,NA,0.03643
S01,2013-03-06T12:20:00Z,FD,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2013-03-06T12:20:00Z,N,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,0.00161,NA,4.9e-4,NA,NA,0.00193,NA,NA,NA,NA,0.03561
S01,2018-03-06T13:36:00Z,N,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2018-03-06T13:39:00Z,N,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2018-03-06T13:40:00Z,N,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2018-03-06T13:41:00Z,N,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2017-03-09T12:00:00Z,N,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2017-03-09T12:05:00Z,N,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2013-04-02T09:55:00Z,N,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,0.00169,NA,3.4e-4,NA,NA,0.00157,NA,NA,NA,NA,0.02471
S01,2014-04-08T13:25:00Z,FD,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,0.00376,NA,0.00134,NA,NA,0.00268,NA,NA,NA,NA,0.021
S01,2014-04-08T13:25:00Z,N,Spring Melt,NA,NA,NA,NA,NA,9.6e-5,NA,NA,0.00389,NA,0.00134,NA,NA,0.00277,NA,NA,NA,NA,0.022
S01,2010-10-01T16:00:00Z,N,Stormwater,NA,NA,NA,NA,NA,5e-4,NA,NA,0.0044,NA,0.00198,NA,NA,0.0025,NA,NA,NA,NA,0.034
S01,2010-10-01T16:05:00Z,FD,Stormwater,NA,NA,NA,NA,NA,5e-4,NA,NA,0.0045,NA,0.00201,NA,NA,0.0025,NA,NA,NA,NA,0.032
S01,2010-10-01T16:05:00Z,N,Stormwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2012-10-11T14:36:00Z,N,Stormwater,NA,NA,NA,NA,NA,NA,NA,NA,0.0049,NA,0.0035,NA,NA,0.0017,NA,NA,NA,NA,0.1021
S01,2010-10-15T08:50:00Z,N,Stormwater,NA,NA,NA,NA,NA,2.5e-4,NA,NA,0.0035,NA,0.0029,NA,NA,0.0027,NA,NA,NA,NA,0.028
S01,2010-10-15T08:55:00Z,FD,Stormwater,NA,NA,NA,NA,NA,2.5e-4,NA,NA,0.0033,NA,0.0027,NA,NA,0.0026,NA,NA,NA,NA,0.027
S01,2010-10-15T08:55:00Z,N,Stormwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2014-10-17T08:35:00Z,FD,Stormwater,NA,NA,NA,NA,NA,NA,NA,NA,0.0125,NA,0.00954,NA,NA,0.00924,NA,NA,NA,NA,0.0923
